areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-02-10,24352
overview,United Kingdom,K02000001,2021-02-09,25643
overview,United Kingdom,K02000001,2021-02-08,26706
overview,United Kingdom,K02000001,2021-02-07,26767
overview,United Kingdom,K02000001,2021-02-06,26881
overview,United Kingdom,K02000001,2021-02-05,28353
overview,United Kingdom,K02000001,2021-02-04,29387
overview,United Kingdom,K02000001,2021-02-03,30583
overview,United Kingdom,K02000001,2021-02-02,31751
overview,United Kingdom,K02000001,2021-02-01,32947
overview,United Kingdom,K02000001,2021-01-31,32570
overview,United Kingdom,K02000001,2021-01-30,33001
overview,United Kingdom,K02000001,2021-01-29,33834
overview,United Kingdom,K02000001,2021-01-28,34897
overview,United Kingdom,K02000001,2021-01-27,35498
overview,United Kingdom,K02000001,2021-01-26,37083
overview,United Kingdom,K02000001,2021-01-25,37742
overview,United Kingdom,K02000001,2021-01-24,37716
overview,United Kingdom,K02000001,2021-01-23,37381
overview,United Kingdom,K02000001,2021-01-22,38243
overview,United Kingdom,K02000001,2021-01-21,38044
overview,United Kingdom,K02000001,2021-01-20,38724
overview,United Kingdom,K02000001,2021-01-19,38829
overview,United Kingdom,K02000001,2021-01-18,39236
overview,United Kingdom,K02000001,2021-01-17,38151
overview,United Kingdom,K02000001,2021-01-16,37697
overview,United Kingdom,K02000001,2021-01-15,38115
overview,United Kingdom,K02000001,2021-01-14,37674
overview,United Kingdom,K02000001,2021-01-13,37474
overview,United Kingdom,K02000001,2021-01-12,36968
overview,United Kingdom,K02000001,2021-01-11,36737
overview,United Kingdom,K02000001,2021-01-10,35375
overview,United Kingdom,K02000001,2021-01-09,34018
overview,United Kingdom,K02000001,2021-01-08,33765
overview,United Kingdom,K02000001,2021-01-07,32570
overview,United Kingdom,K02000001,2021-01-06,31932
overview,United Kingdom,K02000001,2021-01-05,30672
overview,United Kingdom,K02000001,2021-01-04,30760
overview,United Kingdom,K02000001,2021-01-03,29017
overview,United Kingdom,K02000001,2021-01-02,27545
overview,United Kingdom,K02000001,2021-01-01,26373
overview,United Kingdom,K02000001,2020-12-31,26562
overview,United Kingdom,K02000001,2020-12-30,26535
overview,United Kingdom,K02000001,2020-12-29,25537
overview,United Kingdom,K02000001,2020-12-28,24038
overview,United Kingdom,K02000001,2020-12-27,22753
overview,United Kingdom,K02000001,2020-12-26,21719
overview,United Kingdom,K02000001,2020-12-25,20908
overview,United Kingdom,K02000001,2020-12-24,21567
overview,United Kingdom,K02000001,2020-12-23,21211
overview,United Kingdom,K02000001,2020-12-22,21476
overview,United Kingdom,K02000001,2020-12-21,21119
overview,United Kingdom,K02000001,2020-12-20,19991
overview,United Kingdom,K02000001,2020-12-19,19452
overview,United Kingdom,K02000001,2020-12-18,19105
overview,United Kingdom,K02000001,2020-12-17,18958
overview,United Kingdom,K02000001,2020-12-16,18660
overview,United Kingdom,K02000001,2020-12-15,18207
overview,United Kingdom,K02000001,2020-12-14,18237
overview,United Kingdom,K02000001,2020-12-13,17528
overview,United Kingdom,K02000001,2020-12-12,16899
overview,United Kingdom,K02000001,2020-12-11,16874
overview,United Kingdom,K02000001,2020-12-10,16713
overview,United Kingdom,K02000001,2020-12-09,16321
overview,United Kingdom,K02000001,2020-12-08,16466
overview,United Kingdom,K02000001,2020-12-07,16405
overview,United Kingdom,K02000001,2020-12-06,15953
overview,United Kingdom,K02000001,2020-12-05,15682
overview,United Kingdom,K02000001,2020-12-04,15721
overview,United Kingdom,K02000001,2020-12-03,15651
overview,United Kingdom,K02000001,2020-12-02,15968
overview,United Kingdom,K02000001,2020-12-01,16304
overview,United Kingdom,K02000001,2020-11-30,16557
overview,United Kingdom,K02000001,2020-11-29,16306
overview,United Kingdom,K02000001,2020-11-28,15980
overview,United Kingdom,K02000001,2020-11-27,16566
overview,United Kingdom,K02000001,2020-11-26,16757
overview,United Kingdom,K02000001,2020-11-25,17128
overview,United Kingdom,K02000001,2020-11-24,17419
overview,United Kingdom,K02000001,2020-11-23,17675
overview,United Kingdom,K02000001,2020-11-22,17260
overview,United Kingdom,K02000001,2020-11-21,17059
overview,United Kingdom,K02000001,2020-11-20,17180
overview,United Kingdom,K02000001,2020-11-19,17454
overview,United Kingdom,K02000001,2020-11-18,17481
overview,United Kingdom,K02000001,2020-11-17,17432
overview,United Kingdom,K02000001,2020-11-16,17307
overview,United Kingdom,K02000001,2020-11-15,16857
overview,United Kingdom,K02000001,2020-11-14,16293
overview,United Kingdom,K02000001,2020-11-13,16227
overview,United Kingdom,K02000001,2020-11-12,15871
overview,United Kingdom,K02000001,2020-11-11,15658
overview,United Kingdom,K02000001,2020-11-10,14957
overview,United Kingdom,K02000001,2020-11-09,15135
overview,United Kingdom,K02000001,2020-11-08,14542
overview,United Kingdom,K02000001,2020-11-07,14311
overview,United Kingdom,K02000001,2020-11-06,13955
overview,United Kingdom,K02000001,2020-11-05,13793
overview,United Kingdom,K02000001,2020-11-04,13815
overview,United Kingdom,K02000001,2020-11-03,13746
overview,United Kingdom,K02000001,2020-11-02,13102
overview,United Kingdom,K02000001,2020-11-01,12217
overview,United Kingdom,K02000001,2020-10-31,12302
overview,United Kingdom,K02000001,2020-10-30,11785
overview,United Kingdom,K02000001,2020-10-29,11580
overview,United Kingdom,K02000001,2020-10-28,11431
overview,United Kingdom,K02000001,2020-10-27,10934
overview,United Kingdom,K02000001,2020-10-26,10106
overview,United Kingdom,K02000001,2020-10-25,9784
overview,United Kingdom,K02000001,2020-10-24,9260
overview,United Kingdom,K02000001,2020-10-23,8886
overview,United Kingdom,K02000001,2020-10-22,8310
overview,United Kingdom,K02000001,2020-10-21,8132
overview,United Kingdom,K02000001,2020-10-20,7852
overview,United Kingdom,K02000001,2020-10-19,7332
overview,United Kingdom,K02000001,2020-10-18,6829
overview,United Kingdom,K02000001,2020-10-17,6545
overview,United Kingdom,K02000001,2020-10-16,6296
overview,United Kingdom,K02000001,2020-10-15,5933
overview,United Kingdom,K02000001,2020-10-14,5598
overview,United Kingdom,K02000001,2020-10-13,5294
overview,United Kingdom,K02000001,2020-10-12,4960
overview,United Kingdom,K02000001,2020-10-11,4669
overview,United Kingdom,K02000001,2020-10-10,4357
overview,United Kingdom,K02000001,2020-10-09,4169
overview,United Kingdom,K02000001,2020-10-08,4083
overview,United Kingdom,K02000001,2020-10-07,3892
overview,United Kingdom,K02000001,2020-10-06,3641
overview,United Kingdom,K02000001,2020-10-05,3369
overview,United Kingdom,K02000001,2020-10-04,3055
overview,United Kingdom,K02000001,2020-10-03,2866
overview,United Kingdom,K02000001,2020-10-02,2720
overview,United Kingdom,K02000001,2020-10-01,2590
overview,United Kingdom,K02000001,2020-09-30,2530
overview,United Kingdom,K02000001,2020-09-29,2420
overview,United Kingdom,K02000001,2020-09-28,2399
overview,United Kingdom,K02000001,2020-09-27,2188
overview,United Kingdom,K02000001,2020-09-26,2033
overview,United Kingdom,K02000001,2020-09-25,2020
overview,United Kingdom,K02000001,2020-09-24,1846
overview,United Kingdom,K02000001,2020-09-23,1730
overview,United Kingdom,K02000001,2020-09-22,1636
overview,United Kingdom,K02000001,2020-09-21,1558
overview,United Kingdom,K02000001,2020-09-20,1398
overview,United Kingdom,K02000001,2020-09-19,1300
overview,United Kingdom,K02000001,2020-09-18,1221
overview,United Kingdom,K02000001,2020-09-17,1162
overview,United Kingdom,K02000001,2020-09-16,1106
overview,United Kingdom,K02000001,2020-09-15,1066
overview,United Kingdom,K02000001,2020-09-14,981
overview,United Kingdom,K02000001,2020-09-13,842
overview,United Kingdom,K02000001,2020-09-12,812
overview,United Kingdom,K02000001,2020-09-11,770
overview,United Kingdom,K02000001,2020-09-10,944
overview,United Kingdom,K02000001,2020-09-09,924
overview,United Kingdom,K02000001,2020-09-08,894
overview,United Kingdom,K02000001,2020-09-07,902
overview,United Kingdom,K02000001,2020-09-06,818
overview,United Kingdom,K02000001,2020-09-05,812
overview,United Kingdom,K02000001,2020-09-04,818
overview,United Kingdom,K02000001,2020-09-03,817
overview,United Kingdom,K02000001,2020-09-02,803
overview,United Kingdom,K02000001,2020-09-01,861
overview,United Kingdom,K02000001,2020-08-31,853
overview,United Kingdom,K02000001,2020-08-30,830
overview,United Kingdom,K02000001,2020-08-29,832
